#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,acpid,"A daemon for delivering ACPI power management events."
,alsa-utils,"Utilities to controll audio."
,bat,"Cat with syntax highlighting."
,biber, "LaTeX bibliography."
,bleachbit, "Cleaning utility."
,btop, "System monitoring tool of my choise."
,chrony, "Sync time."
,dash, "Fast, default /bin/sh"
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,ffmpeg,"Can record and splice video and audio on the command line."
,fzf, "Command-line fuzzy finder."
,gdu, "Explore your disk usage in a nice visual way."
,gimp, "Photoediting programm."
,imagemagick, "Photo editing on CLI."
,intel-ucode, "Microcode update files for Intel CPUs."
,keepassxc, "stores passwords."
,lf,"is an extensive terminal file manager that everyone likes."
,libertinus-font,"provides the sans and serif fonts."
,libnotify,"allows desktop notifications."
,libqalculate, "Calculator CLI app."
,libreoffice-fresh, "office suite."
,maim, "minimal screenshot utility."
,man-db,"lets you read man pages of programs."
,mediainfo,"shows audio and video information and is used in the file browser."
,moreutils,"is a collection of useful unix tools."
,mpc,"is a terminal interface for mpd."
,mpd,"is a lightweight music daemon."
,mpv,"is the patrician's choice video player."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,neofetch, "btw, I user Arch."
,neovim,"a tidier vim with some useful features."
,newsboat,"is a terminal RSS client."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,nsxiv,"is a minimalist image viewer."
,ntfs-3g,"allows accessing NTFS partitions."
,opendoas, "is a better alternative for sudo."
,perl-image-exiftool, "for deleting metadata."
,picom,"is for transparency and removing screen-tearing."
,qbittorrent, "GUI torrent manager."
,qutebrowser, "browser with vim bindings."
,redshift, "changes image tone depending an the time of the day."
,rsync, "is for transfering and backing up files."
,signal-desktop, "is a signal desktop client."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,texlive, "LaTeX compiler."
,transmission-cli, "CLI torrent manager."
,ttf-dejavu,"properly displays emojis."
,ttf-font-awesome,"provides extended glyph support."
,ttf-hack,"font for dwm."
,ttf-liberation,"yet another font."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,wget, "download from web."
,wiki-tui, "TUI interface for Wikipedia.org."
,xclip,"allows for copying and pasting from the command line."
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xinit,"starts the graphical server."
,xorg-xrandr,"set screen resolution."
,xwallpaper,"sets the wallpaper."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zsh, "zsh shell."
,zsh-completions, "zsh text completion."
A,librewolf-bin,"browser which also comes with ad-blocking and other sensible and necessary features by default."
A,sc-im,"excel program with vim bindings."
A,simple-mtpfs,"enables the mounting of cell phones."
A,ueberzugpp,"enables previews in the lf file manager."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
G,https://github.com/koloika55/dmenu.git,"suckless menu app."
G,https://github.com/koloika55/dwm.git,"suckless window manager."
G,https://github.com/koloika55/slstatus.git,"suckless bar."
G,https://github.com/koloika55/st.git,"suckless terminal emulator."
